tool,n_pairs,n_predicted,coverage,n_exact_match,recall_exact,precision_exact,note
clean-supcon,26,26,1.0000,19,0.7308,0.7308,
stacked,26,26,1.0000,19,0.7308,0.7308,
proteinbert-learnt,26,26,1.0000,15,0.5769,0.5769,
proteinbert-regular,26,26,1.0000,15,0.5769,0.5769,
blastp,26,19,0.7308,14,0.5385,0.7368,
deepectransformer-learnt,26,26,1.0000,14,0.5385,0.5385,
majority-voting-regular,26,26,1.0000,13,0.5000,0.5000,
majority-voting-learnt,26,26,1.0000,12,0.4615,0.4615,
catfam,26,14,0.5385,10,0.3846,0.7143,
deepectransformer-regular,26,26,1.0000,10,0.3846,0.3846,
enzbert-learnt,26,26,1.0000,10,0.3846,0.3846,
enzbert-regular,26,26,1.0000,10,0.3846,0.3846,
deepec,26,13,0.5000,8,0.3077,0.6154,
priam,26,11,0.4231,7,0.2692,0.6364,
ecrecer,26,26,1.0000,7,0.2692,0.2692,
ecpred,26,19,0.7308,3,0.1154,0.1579,
species,26,26,1.0000,0,0.0000,0.0000,
CAV,26,26,1.0000,25,0.9615,0.9615,LLR>1.0
